Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Register,Chrome 74.0.3729.169,Suite de cas de tests concernant la page de cr\u00E9ation de compte,2019-05-23 16:45:40,2019-05-23 16:46:21,"41,111s",PASSED
,,,,,,
Test Cases/GestionCompte/Creation_compte,Chrome 74.0.3729.169,"Création d'un compte avec un jeu de données valides, vérification de la création correcte du compte.",2019-05-23 16:45:40,2019-05-23 16:45:50,"10,635s",PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,2019-05-23 16:45:40,2019-05-23 16:45:44,"3,460s",PASSED
"navigateToUrl(""http://demowebshop.tricentis.com/"")",Chrome 74.0.3729.169,,2019-05-23 16:45:44,2019-05-23 16:45:47,"2,830s",PASSED
"click(findTestObject(""Object Repository/demo_shop/a_Register""))",Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,444s",PASSED
"click(findTestObject(""demo_shop/input_Gender_Gender""))",Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,062s",PASSED
"setText(findTestObject(""Object Repository/demo_shop/input_First name_FirstName""), ""Bart"")",Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,123s",PASSED
"setText(findTestObject(""Object Repository/demo_shop/input_Last name_LastName""), ""Prout"")",Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,102s",PASSED
rand = new java.util.Random(),Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,003s",PASSED
min = 10,Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,001s",PASSED
max = 200,Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,000s",PASSED
result = rand.nextInt() * max - min + min,Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,002s",PASSED
"mail = """"",Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,001s",PASSED
"mail = concatenate([""testprout"", result, ""@yopmail.com""], STOP_ON_FAILURE)",Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,022s",PASSED
"setText(findTestObject(""Object Repository/demo_shop/input_Email_Email""), mail)",Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:47,"0,206s",PASSED
"setEncryptedText(findTestObject(""Object Repository/demo_shop/input_Password_Password""), ""7hWgzki6p2TSj7fH1Rb3uQ=="")",Chrome 74.0.3729.169,,2019-05-23 16:45:47,2019-05-23 16:45:48,"0,160s",PASSED
"setEncryptedText(findTestObject(""Object Repository/demo_shop/input_Confirm password_ConfirmPassword""), ""7hWgzki6p2TSj7fH1Rb3uQ=="")",Chrome 74.0.3729.169,,2019-05-23 16:45:48,2019-05-23 16:45:48,"0,101s",PASSED
